time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2019-11-16,8539.42,8442.03,8468.57,9355.13,79597461.02,8498.94,direct,
2019-11-17,8641.12,8411.3,8498.94,14296.75,122271717.68,8515.28,direct,
2019-11-18,8537.87,8075.63,8515.28,30048.32,250358969.38,8190.16,direct,
2019-11-19,8215.95,8016.54,8190.16,24402.6,198180594.35,8133.57,direct,
2019-11-20,8232.23,8047.73,8133.57,18105.11,147086043.41,8093.6,direct,
2019-11-21,8133.73,7437.33,8093.6,45760.44,354377783.29,7632.59,direct,
2019-11-22,7721.9,6815.03,7632.59,94065.31,680349857.19,7292.2,direct,
2019-11-23,7368.18,7119.41,7292.2,25474.86,185099411.4,7339.24,direct,
2019-11-24,7364.59,6888.89,7339.24,35108.24,249710266.27,6930.09,direct,
2019-11-25,7386.06,6560.13,6930.09,85742.76,596056755.83,7138.23,direct,
2019-11-26,7350.44,7042.5,7138.23,36264.64,259675008.66,7170.11,direct,
2019-11-27,7681.51,6873.1,7170.11,66406.48,485895588.26,7531.5,direct,
2019-11-28,7663.45,7388.79,7531.5,29886.7,225350756.08,7442.33,direct,
2019-11-29,7872.17,7425.49,7442.33,37243.54,285280637.6,7769.38,direct,
2019-11-30,7821.01,7487.1,7769.38,24778.5,189533166.63,7571.77,direct,
2019-12-01,7575.5,7261.95,7571.77,30676.77,226245528.68,7420.53,direct,
2019-12-02,7442.62,7193.09,7420.53,25163.31,184009273.35,7320.94,direct,
2019-12-03,7420.34,7260.93,7320.94,18521.73,135997337.7,7313.64,direct,
2019-12-04,7764.68,7110.76,7313.64,49046.2,360525572.37,7207.78,direct,
2019-12-05,7492.96,7175.85,7207.78,30054.36,220875659.79,7406.75,direct,
2019-12-06,7607.79,7323.86,7406.75,28169.83,209851296.57,7558.58,direct,
2019-12-07,7640.51,7503.1,7558.58,14093.87,106572219.77,7514.86,direct,
2019-12-08,7594.8,7414.51,7514.86,15949.09,120000308.79,7539.7,direct,
2019-12-09,7667.04,7296.42,7539.7,35089.72,262161330.42,7350.62,direct,
2019-12-10,7403.64,7176.42,7350.62,23348.59,170419385.84,7233.84,direct,
2019-12-11,7284.74,7167.13,7233.84,19799.94,143267855.45,7212.01,direct,
2019-12-12,7307.96,7105.35,7212.01,28003.83,201666958.32,7199.39,direct,
2019-12-13,7308.08,7199.39,7199.39,18725.31,135777984.61,7261.72,direct,
2019-12-14,7283.78,7033.14,7261.72,15624.21,111796861.42,7080.29,direct,
2019-12-15,7204.93,7030.37,7080.29,15972.7,113742866.17,7132.39,direct,
2019-12-16,7172.46,6869.19,7132.39,39619.58,278223344.11,6897.33,direct,
2019-12-17,6948.12,6585.46,6897.33,46023.51,310739632.42,6635.84,direct,
2019-12-18,7442.26,6450.69,6635.84,71573.09,491429584.47,7294.53,direct,
2019-12-19,7376.98,7057.66,7294.53,34799.1,249541907.16,7159.26,direct,
2019-12-20,7234.56,7094.06,7159.26,23556.25,168963964.55,7203.41,direct,
2019-12-21,7213.86,7132.82,7203.41,12101.12,86864836.52,7159.47,direct,
2019-12-22,7527.4,7143.17,7159.47,27325.26,200586646.53,7517.58,direct,
2019-12-23,7694.65,7275.28,7517.58,44770.93,336425000.06,7326.6,direct,
2019-12-24,7429.42,7175.5,7326.6,27770.75,203013413.87,7260.91,direct,
2019-12-25,7280.52,7132.3,7260.91,15012.21,108513256.34,7202.72,direct,
2019-12-26,7442.21,7167.44,7202.72,23254.3,169067214.27,7207.23,direct,
2019-12-27,7267.46,7061.61,7207.23,25489.38,183588691.22,7253.82,direct,
2019-12-28,7368.09,7253.61,7253.82,14542.71,106581355.23,7316.23,direct,
2019-12-29,7540.65,7295.33,7316.23,18230.94,135257936.53,7399.49,direct,
2019-12-30,7414.07,7224.79,7399.49,23030.92,168180498.67,7234.44,direct,
2019-12-31,7325.24,7141.94,7234.44,19424.26,140384995.27,7183.88,direct,
2020-01-01,7267.16,7171.82,7183.88,11872.0,85986188.11,7189.94,direct,
2020-01-02,7224.84,6945.83,7189.94,26531.32,187393954.35,6965.72,direct,
2020-01-03,7407.11,6882.62,6965.72,51975.01,376690440.38,7339.7,direct,
2020-01-04,7405.75,7278.6,7339.7,22083.57,162106895.05,7357.5,direct,
2020-01-05,7501.42,7330.07,7357.5,24084.13,179147746.87,7359.96,direct,
2020-01-06,7799.63,7355.11,7359.96,46443.66,352286216.6,7762.69,direct,
2020-01-07,8218.63,7736.57,7762.69,75423.75,600054472.25,8160.36,direct,
2020-01-08,8458.65,7873.97,8160.36,85087.59,699004342.7,8045.15,direct,
2020-01-09,8047.11,7757.04,8045.15,40045.64,316199456.84,7817.35,direct,
2020-01-10,8192.05,7682.56,7817.35,55534.09,441131626.25,8190.31,direct,
2020-01-11,8287.42,8003.87,8190.31,30734.63,250060123.9,8024.58,direct,
2020-01-12,8185.14,7968.4,8024.58,17525.61,142197585.82,8181.49,direct,
